[2015-10-19 15:35:17.026] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类17条信息<!log>
[2015-10-19 15:35:17.039] [INFO] log - 成功读取数据库, 查找资源集合, 共查找资源10条信息<!log>
[2015-10-19 15:35:18.085] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类17条信息<!log>
[2015-10-19 15:35:18.091] [INFO] log - 成功读取数据库, 查找资源集合, 共查找资源7条信息<!log>
[2015-10-19 15:35:19.214] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类17条信息<!log>
[2015-10-19 15:35:19.224] [INFO] log - 成功读取数据库, 查找资源集合, 共查找资源10条信息<!log>
[2015-10-19 15:35:20.282] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类17条信息<!log>
[2015-10-19 15:35:20.293] [INFO] log - 成功读取数据库, 查找资源集合, 共查找资源7条信息<!log>
[2015-10-19 15:35:22.490] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类17条信息<!log>
[2015-10-19 15:35:22.505] [INFO] log - 成功读取数据库, 查找资源集合, 共查找资源10条信息<!log>
[2015-10-19 15:35:42.632] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类17条信息<!log>
[2015-10-19 15:35:42.638] [INFO] log - 成功读取数据库, 查找资源集合, 共查找资源10条信息<!log>
[2015-10-19 15:35:45.565] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类17条信息<!log>
[2015-10-19 15:35:45.572] [INFO] log - 成功读取数据库, 查找资源集合, 共查找资源7条信息<!log>
[2015-10-19 15:35:47.441] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类17条信息<!log>
[2015-10-19 15:35:47.453] [INFO] log - 成功读取数据库, 查找资源集合, 共查找资源10条信息<!log>
[2015-10-19 15:36:58.725] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类22条信息<!log>
[2015-10-19 15:36:58.732] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章10条信息<!log>
[2015-10-19 15:36:59.707] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类22条信息<!log>
[2015-10-19 15:36:59.713] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章10条信息<!log>
[2015-10-19 15:37:00.255] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类17条信息<!log>
[2015-10-19 15:37:00.260] [INFO] log - 成功读取数据库, 查找资源集合, 共查找资源10条信息<!log>
[2015-10-19 15:58:03.830] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:58:03.839] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章6条信息<!log>
[2015-10-19 15:58:06.367] [WARN] log - process: heapTotal 33.76MB heapUsed 18.44MB rss 43.96MB<!log>
[2015-10-19 15:58:06.369] [FATAL] log - Express server listening on port3000<!log>
